country,food_group,food_supply
Botswana,Milk and milk products,89.8
Botswana,Miscellaneous,53.6
Botswana,"Pulses, seeds and nuts and their products",61.2
Botswana,"Roots, tubers, plantains and their products",119.0
Botswana,Spices and condiments,18.4
Botswana,Sweets and sugars,277.0
Botswana,Vegetables and their products,30.6
Brazil,Beverages,117.0
Brazil,Cereals and their products,899.8
Brazil,Eggs and their products,45.6
Brazil,Fats and oils,696.4
Brazil,"Fish, shellfish and their products",14.0
Brazil,Foods for particular nutritional uses,0.0
Brazil,Fruits and their products,132.0
Brazil,Meat and meat products,460.8
Brazil,Milk and milk products,290.6
Brazil,Miscellaneous,0.0
Brazil,"Pulses, seeds and nuts and their products",150.0
Brazil,"Roots, tubers, plantains and their products",132.0
Brazil,Spices and condiments,1.4
Brazil,Sweets and sugars,405.0
Brazil,Vegetables and their products,33.0
Bulgaria,Beverages,161.8
Bulgaria,Cereals and their products,857.0
Bulgaria,Eggs and their products,19.2
Bulgaria,Fats and oils,711.0
Bulgaria,"Fish, shellfish and their products",14.6
Bulgaria,Foods for particular nutritional uses,1.6
Bulgaria,Fruits and their products,94.6
Bulgaria,Meat and meat products,279.4
Bulgaria,Milk and milk products,301.4
Bulgaria,Miscellaneous,6.0
Bulgaria,"Pulses, seeds and nuts and their products",83.2
Bulgaria,"Roots, tubers, plantains and their products",51.6
Bulgaria,Spices and condiments,3.4
Bulgaria,Sweets and sugars,316.2
Bulgaria,Vegetables and their products,59.6
Burkina Faso,Beverages,71.4
Burkina Faso,Cereals and their products,1542.8
Burkina Faso,Eggs and their products,4.0
Burkina Faso,Fats and oils,117.6
Burkina Faso,"Fish, shellfish and their products",20.0
Burkina Faso,Foods for particular nutritional uses,0.6
Burkina Faso,Fruits and their products,69.8
Burkina Faso,Meat and meat products,157.2
Burkina Faso,Milk and milk products,42.4
Burkina Faso,Miscellaneous,3.8
Burkina Faso,"Pulses, seeds and nuts and their products",520.8
Burkina Faso,"Roots, tubers, plantains and their products",23.6
Burkina Faso,Spices and condiments,27.6
Burkina Faso,Sweets and sugars,61.0
Burkina Faso,Vegetables and their products,42.0
Cabo Verde,Beverages,97.4
Cabo Verde,Cereals and their products,1333.4
Cabo Verde,Eggs and their products,17.4
Cabo Verde,Fats and oils,323.0
Cabo Verde,"Fish, shellfish and their products",16.6
Cabo Verde,Foods for particular nutritional uses,16.8
Cabo Verde,Fruits and their products,47.6
Cabo Verde,Meat and meat products,209.4
Cabo Verde,Milk and milk products,173.2
Cabo Verde,Miscellaneous,48.8
Cabo Verde,"Pulses, seeds and nuts and their products",157.0
Cabo Verde,"Roots, tubers, plantains and their products",76.0
Cabo Verde,Spices and condiments,25.6
Cabo Verde,Sweets and sugars,211.4
Cabo Verde,Vegetables and their products,60.2
Cambodia,Beverages,127.0
Cambodia,Cereals and their products,1438.4
Cambodia,Eggs and their products,4.0
Cambodia,Fats and oils,133.8
Cambodia,"Fish, shellfish and their products",93.4
Cambodia,Foods for particular nutritional uses,3.8
Cambodia,Fruits and their products,18.4
Cambodia,Meat and meat products,76.2
Cambodia,Milk and milk products,10.8
Cambodia,Miscellaneous,11.6
Cambodia,"Pulses, seeds and nuts and their products",65.6
Cambodia,"Roots, tubers, plantains and their products",584.4
Cambodia,Spices and condiments,7.0
Cambodia,Sweets and sugars,80.4
Cambodia,Vegetables and their products,25.6
Cameroon,Beverages,87.6
Cameroon,Cereals and their products,1142.2
Cameroon,Eggs and their products,5.4
Cameroon,Fats and oils,266.0
Cameroon,"Fish, shellfish and their products",35.8
Cameroon,Foods for particular nutritional uses,1.4
Cameroon,Fruits and their products,72.2
Cameroon,Meat and meat products,68.4
Cameroon,Milk and milk products,25.2
Cameroon,Miscellaneous,2.0
Cameroon,"Pulses, seeds and nuts and their products",301.0
Cameroon,"Roots, tubers, plantains and their products",650.6
Cameroon,Spices and condiments,14.6
Cameroon,Sweets and sugars,138.0
Cameroon,Vegetables and their products,69.4
Canada,Beverages,131.4
Canada,Cereals and their products,859.4
Canada,Eggs and their products,54.2
Canada,Fats and oils,877.6
Canada,"Fish, shellfish and their products",31.8
Canada,Foods for particular nutritional uses,5.2
Canada,Fruits and their products,123.0
Canada,Meat and meat products,363.6
Canada,Milk and milk products,270.0
Canada,Miscellaneous,20.8
Canada,"Pulses, seeds and nuts and their products",188.8
Canada,"Roots, tubers, plantains and their products",139.2
Canada,Spices and condiments,10.6
Canada,Sweets and sugars,435.8
Canada,Vegetables and their products,75.0
Chile,Beverages,161.8
Chile,Cereals and their products,1082.2
Chile,Eggs and their products,33.4
Chile,Fats and oils,334.4
Chile,"Fish, shellfish and their products",22.0
Chile,Foods for particular nutritional uses,0.0
Chile,Fruits and their products,87.0
Chile,Meat and meat products,421.6
Chile,Milk and milk products,184.0
Chile,Miscellaneous,28.0
Chile,"Pulses, seeds and nuts and their products",80.4
Chile,"Roots, tubers, plantains and their products",102.0
Chile,Spices and condiments,2.4
Chile,Sweets and sugars,478.8
Chile,Vegetables and their products,63.0
China,Beverages,100.8
China,Cereals and their products,1572.4
China,Eggs and their products,79.8
China,Fats and oils,262.6
China,"Fish, shellfish and their products",62.8
China,Foods for particular nutritional uses,1.6
China,Fruits and their products,165.2
China,Meat and meat products,391.4
China,Milk and milk products,63.8
China,Miscellaneous,0.6
China,"Pulses, seeds and nuts and their products",172.8
China,"Roots, tubers, plantains and their products",139.8
China,Spices and condiments,7.2
China,Sweets and sugars,92.6
China,Vegetables and their products,288.4
"China, Hong Kong SAR",Beverages,99.8
"China, Hong Kong SAR",Cereals and their products,699.4
"China, Hong Kong SAR",Eggs and their products,89.2
"China, Hong Kong SAR",Fats and oils,384.4
"China, Hong Kong SAR","Fish, shellfish and their products",92.4
"China, Hong Kong SAR",Foods for particular nutritional uses,0.2
"China, Hong Kong SAR",Fruits and their products,95.2
"China, Hong Kong SAR",Meat and meat products,648.8
"China, Hong Kong SAR",Milk and milk products,125.0
"China, Hong Kong SAR",Miscellaneous,90.8
"China, Hong Kong SAR","Pulses, seeds and nuts and their products",90.8
"China, Hong Kong SAR","Roots, tubers, plantains and their products",42.0
"China, Hong Kong SAR",Spices and condiments,8.4
"China, Hong Kong SAR",Sweets and sugars,397.2
"China, Hong Kong SAR",Vegetables and their products,152.6
"China, Macao SAR",Beverages,195.2
"China, Macao SAR",Cereals and their products,684.0
"China, Macao SAR",Eggs and their products,73.8
"China, Macao SAR",Fats and oils,495.6
"China, Macao SAR","Fish, shellfish and their products",88.6
"China, Macao SAR",Foods for particular nutritional uses,35.8
"China, Macao SAR",Fruits and their products,81.4
"China, Macao SAR",Meat and meat products,524.8
"China, Macao SAR",Milk and milk products,68.6
"China, Macao SAR",Miscellaneous,88.0
"China, Macao SAR","Pulses, seeds and nuts and their products",71.2
"China, Macao SAR","Roots, tubers, plantains and their products",55.0
"China, Macao SAR",Spices and condiments,21.2
"China, Macao SAR",Sweets and sugars,372.4
"China, Macao SAR",Vegetables and their products,103.4
"China, Taiwan Province of",Beverages,89.6
"China, Taiwan Province of",Cereals and their products,848.2
"China, Taiwan Province of",Eggs and their products,54.4
"China, Taiwan Province of",Fats and oils,669.6
"China, Taiwan Province of","Fish, shellfish and their products",46.4
"China, Taiwan Province of",Foods for particular nutritional uses,3.2
"China, Taiwan Province of",Fruits and their products,123.4
"China, Taiwan Province of",Meat and meat products,428.4
"China, Taiwan Province of",Milk and milk products,86.4
"China, Taiwan Province of",Miscellaneous,0.6
"China, Taiwan Province of","Pulses, seeds and nuts and their products",161.2
